               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099207,            0.024327,            0.027083,            0.002809,             0.85556,            0.021529,           0.0045325,            0.065857,            0.016768,            0.031075,            0.070612,           0.0032653,           0.0032653
                   1,            0.075719,            0.019075,            0.025325,            0.049239,             0.86364,             0.10252,            0.027999,             0.06369,            0.012716,            0.026294,            0.040482,            0.006468,            0.006468
                   2,             0.07174,            0.015655,            0.024098,            0.084325,             0.14242,             0.10859,            0.025175,            0.071439,            0.010626,            0.025149,            0.010219,           0.0095387,           0.0095387
                   3,            0.064132,            0.013713,            0.021269,             0.36626,             0.63232,             0.43826,              0.1217,            0.061311,           0.0097305,            0.016755,            0.009406,            0.009406,            0.009406
                   4,            0.060942,            0.011728,            0.014966,             0.68172,             0.64285,               0.721,              0.2183,             0.05665,           0.0089539,           0.0075884,            0.009406,            0.009406,            0.009406
                   5,            0.056957,            0.010569,            0.010848,              0.8843,             0.81498,             0.84828,             0.33471,            0.050011,           0.0081865,           0.0083372,            0.009208,            0.009208,            0.009208
                   6,            0.053054,           0.0094427,           0.0086794,             0.62712,             0.65634,             0.75372,             0.24288,            0.051745,            0.008864,           0.0092774,             0.00901,             0.00901,             0.00901
                   7,            0.050741,           0.0090268,           0.0084675,             0.88721,             0.92085,             0.94654,             0.41957,             0.04485,           0.0071064,           0.0052418,            0.008812,            0.008812,            0.008812
                   8,            0.048244,            0.008584,           0.0077777,             0.83082,             0.83939,              0.9101,             0.38679,            0.043462,           0.0075088,            0.014315,            0.008614,            0.008614,            0.008614
                   9,            0.046901,           0.0086746,           0.0062653,             0.89802,             0.84011,             0.91393,             0.39095,            0.041697,           0.0070667,           0.0089325,            0.008416,            0.008416,            0.008416
                  10,            0.045528,           0.0084293,           0.0065451,             0.92145,             0.89716,             0.95528,             0.41168,            0.038803,           0.0067049,           0.0041593,            0.008218,            0.008218,            0.008218
                  11,            0.044222,           0.0084142,           0.0062725,             0.95289,             0.93654,             0.97889,             0.45947,            0.036347,           0.0064818,           0.0032078,             0.00802,             0.00802,             0.00802
                  12,            0.043591,           0.0087011,           0.0065475,             0.85194,             0.90606,             0.96368,             0.42096,            0.041461,           0.0076221,           0.0037635,            0.007822,            0.007822,            0.007822
                  13,            0.041322,           0.0080178,           0.0062344,             0.98103,             0.96258,             0.98134,             0.45445,            0.035464,           0.0069416,           0.0017954,            0.007624,            0.007624,            0.007624
                  14,             0.04126,             0.00763,            0.004905,             0.96438,             0.93898,             0.98272,             0.48203,            0.036606,           0.0062269,           0.0044361,            0.007426,            0.007426,            0.007426
                  15,            0.040526,           0.0077497,           0.0047853,             0.94567,             0.92615,             0.96768,             0.43063,            0.037829,           0.0063539,           0.0042502,            0.007228,            0.007228,            0.007228
                  16,            0.040233,           0.0077262,           0.0046693,             0.95545,             0.97172,             0.98553,             0.51547,            0.032878,           0.0063303,           0.0019577,             0.00703,             0.00703,             0.00703
                  17,            0.038944,           0.0077605,           0.0047364,             0.97575,               0.957,             0.97865,               0.518,            0.033026,           0.0062462,           0.0024295,            0.006832,            0.006832,            0.006832
                  18,             0.03849,            0.007393,           0.0042501,             0.97309,             0.95943,             0.98026,             0.46456,             0.03551,           0.0060901,           0.0022102,            0.006634,            0.006634,            0.006634
                  19,            0.037867,           0.0073882,           0.0045497,             0.97489,             0.93732,             0.97603,             0.47291,            0.033873,           0.0063419,           0.0028529,            0.006436,            0.006436,            0.006436
                  20,            0.036906,           0.0070573,           0.0037774,             0.97252,             0.95063,             0.97111,             0.50205,            0.033108,            0.005934,           0.0024149,            0.006238,            0.006238,            0.006238
                  21,            0.036883,           0.0070217,           0.0034173,             0.97353,             0.92569,             0.97604,             0.53917,            0.031949,           0.0059606,           0.0033669,             0.00604,             0.00604,             0.00604
                  22,            0.036482,           0.0073432,           0.0041598,             0.93289,             0.96162,             0.97603,             0.54784,            0.030915,           0.0058567,           0.0037505,            0.005842,            0.005842,            0.005842
                  23,            0.036782,           0.0071828,           0.0034494,             0.99244,             0.96911,             0.98608,             0.48878,            0.034537,           0.0062343,           0.0014162,            0.005644,            0.005644,            0.005644
                  24,             0.03512,            0.007239,           0.0040848,             0.98836,             0.96577,             0.98685,             0.55974,            0.031525,           0.0057635,           0.0016361,            0.005446,            0.005446,            0.005446
                  25,            0.035317,           0.0070831,           0.0036368,             0.97793,             0.98586,             0.99358,             0.55289,            0.030891,           0.0056864,           0.0012556,            0.005248,            0.005248,            0.005248
                  26,            0.034428,           0.0066933,           0.0023935,             0.97037,             0.97404,             0.98596,             0.55938,            0.031202,            0.005688,            0.002143,             0.00505,             0.00505,             0.00505
                  27,            0.034519,           0.0071939,           0.0035093,              0.9849,             0.95337,             0.99313,             0.55057,            0.030446,           0.0056899,           0.0015415,            0.004852,            0.004852,            0.004852
                  28,            0.033754,           0.0068418,           0.0032901,              0.9397,             0.97476,             0.98176,              0.5759,            0.029618,           0.0056654,           0.0031512,            0.004654,            0.004654,            0.004654
                  29,            0.033932,           0.0068739,            0.002006,             0.97013,             0.96712,             0.98668,             0.57642,            0.029398,           0.0056838,           0.0025212,            0.004456,            0.004456,            0.004456
                  30,            0.032263,           0.0064023,           0.0030526,             0.97972,             0.97638,             0.99022,             0.58478,            0.029371,           0.0056727,           0.0016147,            0.004258,            0.004258,            0.004258
                  31,            0.032697,           0.0067491,           0.0035207,             0.97937,             0.96394,             0.97497,             0.56619,             0.02864,           0.0055898,           0.0024003,             0.00406,             0.00406,             0.00406
                  32,            0.031792,           0.0068254,           0.0035083,             0.98271,             0.97576,             0.98509,              0.5763,            0.028784,           0.0056623,          0.00077767,            0.003862,            0.003862,            0.003862
                  33,            0.031683,           0.0065705,           0.0024848,             0.98202,             0.96192,             0.98906,             0.55059,              0.0305,           0.0057085,           0.0014806,            0.003664,            0.003664,            0.003664
                  34,            0.032128,            0.006647,           0.0029667,             0.99167,             0.98639,             0.99046,             0.60202,             0.02758,           0.0056132,            0.000605,            0.003466,            0.003466,            0.003466
                  35,            0.030763,           0.0067127,           0.0024354,             0.99211,             0.98409,             0.98974,             0.59987,            0.028087,           0.0054243,           0.0004581,            0.003268,            0.003268,            0.003268
                  36,            0.030639,           0.0061589,           0.0019588,             0.97938,             0.99495,             0.99058,              0.5962,            0.028467,           0.0054895,          0.00046324,             0.00307,             0.00307,             0.00307
                  37,            0.030613,           0.0065951,           0.0023342,             0.96625,             0.96725,             0.98758,             0.58745,            0.027765,           0.0055382,           0.0023845,            0.002872,            0.002872,            0.002872
                  38,             0.03085,           0.0066474,           0.0027412,             0.98834,             0.99489,             0.99052,             0.57481,             0.02834,           0.0056216,          0.00060009,            0.002674,            0.002674,            0.002674
                  39,            0.030168,           0.0063533,           0.0022719,              0.9806,             0.97329,             0.99024,              0.5882,             0.02771,            0.005657,          0.00089207,            0.002476,            0.002476,            0.002476
                  40,            0.029716,           0.0067167,           0.0015042,             0.98058,             0.99217,             0.99057,             0.61489,            0.026529,           0.0054007,          0.00057208,            0.002278,            0.002278,            0.002278
                  41,            0.029188,           0.0061936,           0.0018186,             0.99119,             0.97751,             0.99061,               0.622,            0.026184,           0.0054897,           0.0006996,             0.00208,             0.00208,             0.00208
                  42,            0.028551,           0.0059831,           0.0018051,             0.98643,             0.97566,             0.99046,              0.5855,            0.029137,           0.0055776,            0.000874,            0.001882,            0.001882,            0.001882
                  43,            0.029006,           0.0064125,           0.0020268,             0.97951,             0.97123,             0.98412,             0.61611,            0.026754,           0.0054264,          0.00047942,            0.001684,            0.001684,            0.001684
                  44,            0.028763,           0.0061062,           0.0015859,             0.97717,             0.98368,             0.98238,             0.60991,            0.026365,           0.0052756,          0.00042453,            0.001486,            0.001486,            0.001486
                  45,            0.028203,           0.0063151,           0.0015605,             0.97934,             0.98213,               0.983,             0.61754,            0.026742,           0.0053427,          0.00026791,            0.001288,            0.001288,            0.001288
                  46,            0.027848,           0.0061095,             0.00276,              0.9747,              0.9725,             0.98394,             0.61288,            0.026429,           0.0054106,          0.00034425,             0.00109,             0.00109,             0.00109
                  47,            0.027851,           0.0061548,           0.0013078,             0.97838,             0.97335,             0.98326,             0.62893,            0.026288,           0.0053562,          0.00086486,            0.000892,            0.000892,            0.000892
                  48,            0.027686,            0.006107,           0.0014741,             0.97554,             0.97071,             0.98356,              0.6177,            0.025954,           0.0053033,            0.000804,            0.000694,            0.000694,            0.000694
                  49,            0.027301,             0.00633,            0.001242,             0.99018,             0.98398,             0.99061,             0.62445,            0.025895,           0.0053049,          0.00078712,            0.000496,            0.000496,            0.000496
